" "	"2020"
" "	" "	"0-4"	84577	78372
" "	" "	"5-9"	87734	82228
" "	" "	"10-14"	78836	75335
" "	" "	"15-19"	72361	69801
" "	" "	"20-24"	74196	68073
" "	" "	"25-29"	90699	90319
" "	" "	"30-34"	112840	124754
" "	" "	"35-39"	136017	148883
" "	" "	"40-44"	116716	132215
" "	" "	"45-49"	102315	114615
" "	" "	"50-54"	79808	91286
" "	" "	"55-59"	77019	102583
" "	" "	"60-64"	73663	109107
" "	" "	"65-69"	62543	101666
" "	" "	"70-74"	46408	78925
" "	" "	"75-79"	23501	43347
" "	" "	"80"	30323	62398
" "	"2021"
" "	" "	"0-4"	79095	73088
" "	" "	"5-9"	89429	83536
" "	" "	"10-14"	81257	77556
" "	" "	"15-19"	75327	72297
" "	" "	"20-24"	69597	63235
" "	" "	"25-29"	87991	86831
" "	" "	"30-34"	107666	118908
" "	" "	"35-39"	134835	148985
" "	" "	"40-44"	119307	135863
" "	" "	"45-49"	105139	118491
" "	" "	"50-54"	83095	94737
" "	" "	"55-59"	74581	97507
" "	" "	"60-64"	73732	108830
" "	" "	"65-69"	61898	101663
" "	" "	"70-74"	48868	84577
" "	" "	"75-79"	22517	42193
" "	" "	"80"	30341	62962
